Audit Status,Category,Governing Body,Source Code,Guideline Title,Operational Action,Matched ONS High-Level,Specific Demographic Terms,Algorithmic Indicators,Clinical Guidance Excerpt,Source URL,Audit Date
NEW / UNCATALOGUED,Risk Calculators & Prognostic Models,NICE,NG3,Diabetes in pregnancy: management from preconception to the postnatal period,Risk Score / Threshold Adjustment,Broad Demographic / Optical Classification,Ethnic,cut-off,"For women with diabetes who are planning a pregnancy and who have a body mass index (BMI) above 27 kg/m2, offer advice on how to lose weight, in line with the NICE guideline on overweight and obesity management (this includes guidance on BMI and using variations on the BMI cut-off, based on the risk for different ethnic groups).",https://www.nice.org.uk/guidance/ng3/chapter/Recommendations,2026-09-13
Known Baseline,Risk Calculators & Prognostic Models,NICE,NG9,Bronchiolitis in children: diagnosis and management,Risk Score / Threshold Adjustment,Broad Demographic / Optical Classification,Skin Tone,accuracy; oximetry,"There are emerging reports in other areas of clinical care that there may be variation in the accuracy of pulse oximetry depending on a person's skin tone. The 2021 update of the guideline did not look at the evidence in this area, so the committee did not make a recommendation to address the issue.",https://www.nice.org.uk/guidance/ng9/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Medical Devices / Differential Performance,NICE,NG12,Suspected cancer: recognition and referral,Hardware / Sensor Accuracy,Broad Demographic / Optical Classification,Pigmented,checklist; score,Refer people using a suspected cancer pathway referral for melanoma if they have a suspicious pigmented skin lesion with a weighted 7-point checklist score of 3 or more.,https://www.nice.org.uk/guidance/ng12/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Risk Calculators & Prognostic Models,NICE,NG25,Preterm labour and birth,Risk Score / Threshold Adjustment,Broad Demographic / Optical Classification,Minority Ethnic,monitoring,"Be aware that, according to the 2021 MBRRACE-UK report on perinatal mortality, women from some minority ethnic backgrounds or who live in deprived areas have an increased risk of stillbirth and may need closer monitoring and additional support.",https://www.nice.org.uk/guidance/ng25/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Risk Calculators & Prognostic Models,NICE,NG87,"Dementia: assessment, management and support",Risk Score / Threshold Adjustment,Broad Demographic / Optical Classification; White,English; Ethnic,screening; threshold,Standardised cognitive screening instruments and threshold scores must be adjusted and validated when assessing people from different ethnic backgrounds where English is not the primary language.,https://www.nice.org.uk/guidance/ng87/chapter/Recommendations,2026-09-13
Known Baseline,Medications (Initiation & Monitoring),NICE,NG136,Hypertension in adults: diagnosis and management,Pharmacotherapy Selection,Black / African / Caribbean / Black British,African; Black African; Caribbean,first-line; monotherapy,"Offer a calcium-channel blocker (CCB) to adults with type 2 diabetes or hypertension who are aged 55 or over, or who are of Black African or African-Caribbean origin of any age as first-line monotherapy instead of an ACE inhibitor.",https://www.nice.org.uk/guidance/ng136/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Risk Calculators & Prognostic Models,NICE,NG194,Postnatal care,Risk Score / Threshold Adjustment,Broad Demographic / Optical Classification,Minority Ethnic,monitoring,Be aware that the 2020 MBRRACE-UK reports on maternal and perinatal mortality showed that women and babies from some minority ethnic backgrounds and those who live in deprived areas have an increased risk of death and may need closer monitoring.,https://www.nice.org.uk/guidance/ng194/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Risk Calculators & Prognostic Models,NICE,NG201,Antenatal care,Risk Score / Threshold Adjustment,Broad Demographic / Optical Classification,Minority Ethnic,monitoring,"Be aware that, according to the 2020 MBRRACE-UK reports on maternal and perinatal mortality, women and babies from some minority ethnic backgrounds and those who live in deprived areas have an increased risk of death and may need closer monitoring and additional support.",https://www.nice.org.uk/guidance/ng201/chapter/Recommendations,2026-09-13
HISTORICAL REMOVAL / DEPRECATION,Laboratory Tests & Biological Thresholds,NICE,NG203,Chronic kidney disease: assessment and management,Biological Threshold / Formula,Asian / Asian British; Black / African / Caribbean / Black British; Broad Demographic / Optical Classification,Asian; Black; Ethnic; Ethnicity; Minority Ethnic,deprecated; equation; multiplier; removed,"Whenever a request for serum creatinine measurement is made, clinical laboratories should report an estimate of eGFRcreatinine using a prediction equation; eGFRcreatinine has not been well validated in certain ethnic groups (for example, black, Asian and other minority ethnic groups with CKD living in the UK). The ethnicity multiplier (1.159) has been removed and deprecated.",https://www.nice.org.uk/guidance/ng203/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Risk Calculators & Prognostic Models,NICE,NG207,Inducing labour,Risk Score / Threshold Adjustment,Broad Demographic / Optical Classification,Minority Ethnic,monitoring,"Be aware that, according to the 2020 MBRRACE-UK report on perinatal mortality, women from some minority ethnic backgrounds or who live in deprived areas have an increased risk of stillbirth and may benefit from closer monitoring and additional support.",https://www.nice.org.uk/guidance/ng207/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Laboratory Tests & Biological Thresholds,NICE,NG229,Fetal monitoring in labour,Biological Threshold / Formula,Broad Demographic / Optical Classification,Ethnic,centile,Use customised symphysis fundal height (SFH) charts and ethnic growth curves (e.g. GROW) to adjust centile thresholds for small-for-gestational-age babies.,https://www.nice.org.uk/guidance/ng229/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Risk Calculators & Prognostic Models,NICE,NG238,Cardiovascular disease: risk assessment and reduction,Risk Score / Threshold Adjustment,Broad Demographic / Optical Classification,Ethnicity,overestimate,"The committee agreed to remove a 2014 recommendation to complete as many fields of the risk assessment tool as possible because QRISK3 can overestimate risk if fields are left blank. BMI, ethnicity and family history of CVD should still be recorded in people's medical records.",https://www.nice.org.uk/guidance/ng238/chapter/Recommendations,2026-09-13
NEW / UNCATALOGUED,Laboratory Tests & Biological Thresholds,NICE,NG239,Vitamin B12 deficiency in over 16s: diagnosis and management,Biological Threshold / Formula,Asian / Asian British; Black / African / Caribbean / Black British; Broad Demographic / Optical Classification; White,Asian; Black; Ethnicity; White,reference range,Be aware that people of Black ethnicity may have a higher reference range for serum vitamin B12 concentrations than people of White or Asian ethnicity.,https://www.nice.org.uk/guidance/ng239/chapter/Recommendations,2026-09-13
Known Baseline,Medications (Initiation & Monitoring),BNF / MHRA,BNF Clozapine,Clozapine Absolute Neutrophil Count Monitoring,Pharmacotherapy Selection,Black / African / Caribbean / Black British; Broad Demographic / Optical Classification; White,African; Ancestry; Ethnic; White,titration,Mandatory ANC thresholds for clozapine initiation follow baseline reference limits derived from White populations. Benign ethnic neutropenia common in patients of African ancestry requires formal haematologist exemption before dose titration.,https://bnf.nice.org.uk/drugs/clozapine/,2026-09-13
HISTORICAL REMOVAL / DEPRECATION,Risk Calculators & Prognostic Models,ARTP / BTS,ARTP Spirometry,Race-Neutral Reference Equations for Spirometry,Risk Score / Threshold Adjustment,Black / African / Caribbean / Black British; Broad Demographic / Optical Classification,Black; Race,multiplier; race-neutral,"Historically, lung function interpretation algorithms applied a 10 to 15 percent lower expectation multiplier for Black individuals. ARTP has endorsed transitioning to race-neutral Global Lung Function Initiative (GLI) reference equations.",https://www.respiratoryfutures.org.uk/programmes-pages/health-inequalities/health-inequalities-resources/artp-race-neutral-position-statement/,2026-09-13
NEW / UNCATALOGUED,Medications (Initiation & Monitoring),MHRA,MHRA Drug Alert,Carbamazepine: HLA-B*1502 screening,Pharmacotherapy Selection,Asian / Asian British,Chinese; East Asian,screening,"Screening for HLA-B*1502 is mandatory before initiating carbamazepine in patients of Han Chinese, Thai, and other South-East Asian descent to reduce the risk of Stevens-Johnson syndrome.",https://www.gov.uk/drug-safety-update,2026-09-13
